"RMS Level";"RMS Level | Measured 1"
32.3560007240329;-100.975757336917
32.5813157382183;-100.849482156866
32.8081997613814;-100.723206976816
33.0366637195103;-100.596931796766
33.2667186146776;-100.470656616716
33.4983755255702;-100.344381436665
33.7316456080228;-100.218106256615
33.9665400955552;-100.091831076565
34.2030702999131;-99.9728716753573
34.4412476116129;-99.8620525075413
34.6810835004906;-99.7512333397254
34.9225895162534;-99.6404141719095
35.1657772890365;-99.5295950040936
35.410658529963;-99.4187758362777
35.6572450317078;-99.3079566684617
35.9055486690657;-99.1971375006458
36.1555813995229;-99.0863183328299
36.4073552638332;-98.975499165014
36.6608823865975;-98.8646799971981
36.916174976848;-98.7538608293821
37.173245328636;-98.6430416615662
37.4321058216239;-98.5322224937503
37.6927689216814;-98.4214033259344
37.9552471814859;-98.3105841581184
